Rank,Name,Acceptance Rates,Population,Student Faculty Ratio
1,"Massachusetts Institute of Technology  Cambridge, MA",8%,11301,12.5%
2,"Carnegie Mellon University  Pittsburgh, PA",25%,12367,10%
3,"The University of Texas at Austin  Austin, TX",40%,52059,5.56%
4,"University of Minnesota-Twin Cities  Minneapolis, MN",44%,51526,5.88%
5,"University of Arizona  Tucson, AZ",77%,40621,4.76%
6,"University of Maryland-College Park  College Park, MD",47%,37272,5.56%
6,"University of Pennsylvania  Philadelphia, PA",12%,24630,16.67%
8,"New York University  New York, NY",26%,44599,10%
9,"Stanford University  Stanford, CA",6%,18346,9.09%
10,"Georgia State University  Atlanta, GA",55%,32165,4.55%
10,"Indiana University-Bloomington  Bloomington, IN",72%,46817,5.56%
11,Santa Clara University CA,91%,10000,9.09%
12,UC Berkeley CA,,10863,5.55%
