RANKING,UNIVERSITY,PROGRAM
1,Carnegie Mellon University (Heinz),MISM
2,Indiana University – Bloomington (Kelley),MS IS
3,"University of California, Berkeley (iSchool)",MIMS
4,"University of Washington, Seattle (iSchool/Foster)",MS IM/MS IS
5,University of Arizona (Eller),MS MIS
6,"Texas A&M University, College Station (Mays)",MS MIS
7,New York University (Stern),MS IS
8,Rensselaer Polytechnic Institute,MS IT/MS BA
9,Syracuse University (iSchool),MS IM
10,SUNY Buffalo (School of Mgmt.),MS MIS
11,"University of Maryland, College Park (B School / iSchool)",MS IS/MIM
12,"University of Cincinnati, Ohio (B-School)",MS IS
13,"University of Illinois, Chicago",MS MIS
14,"University of Michigan, Ann Arbon (iSchool)",MSI
15,Worcester Polytechnic Institute,MS IT
16,Bentley University,MS IT
17,University of Illinois at Urbana–Champaign,MS TM
18,George Washington University,MS IST
19,"Rutgers, The State University of New Jersey",MS IT
20,Iowa State University,MS IS
21,Purdue University,MS CIT
22,University of Connecticut,MS BAPM
23,Illinois Institute of Technology,MS ITM
24,Okhlama State University,MS MIS
25,Polytechnic School of Engineering – NYU,MS MOT
26,Santa Clara University,MS IS
27,Georgia State University,MS CIS
28,University of Florida,MS ISOM
29,"Northeastern University, Boston",MS IS
30,"University of Texas, Dallas",MS ITM
31,Stevens Institute of Technology,MS IS.
32,University of South Florida,MS MIS
33,Rochester Institute of Technology,MS IST
34,"University of North Carolina, Charlotte",MS IT
35,George Mason University,MS IS
36,University of Utah,MS IS
37,University of Arkansas,MS IS
38,Claremont Graduate University,MS IST
39,University of Nebraska,MS MIS
40,University of Texas at Arlington,MS IS
41,Texas Tech University,MS MIS
42,University of Texas at Austin,MS BA
43,Arizona State University,MS BA
44,University of Pittsburgh,MS IS
45,University of Pennsylvania,MS CIS
46,New Jersey Institute of Technology,MS IS
47,San Diego State University,MS IS
48,Boston University,MS CIS
49,"University of Houston, Clear Lake",MS MIS
50,Northern Illinois University,MS MIS
51,"University of Maryland, Baltimore County",MS IS
52,University of Delaware,MS IS
53,Temple University,MS IST
54,Utah State University,MS MIS
55,Illinois State University,MS IS
56,"University of Colorado, Denver",MS IS
57,University of Illinois – Springfield,MS MIS
58,Cornell University,MPS IS
59,Florida International University,MS MIS
60,Brigham Young University,MISM
61,"University of Alabama, Huntsville",MS IS
